ru,en
бабушка,grandmother
крик,cry
рот,mouth
сутки,twenty-four hours
ключ,key
процент,percentage
ощущение,feeling
остров,island
конь,horse
театр,theatre
живот,stomach
производство,production
штаб,staff
детство,childhood
сотня,a hundred
стакан,glass
материал,material
ужас,terror
значение,meaning
труба,pipe
стихи,poetry
способ,method
обстоятельство,circumstance
степень,degree
Германия,Germany
СССР,USSR
волна,wave
глубина,depth
представитель,representative
нож,knife
рынок,market
шум,noise
студент,student
впечатление,impression
отдел,department
запад,west
очко,pip
успех,success
инженер,engineer
население,population
пыль,dust
знание,knowledge
секретарь,secretary
ошибка,mistake
боец,fighting-man
масса,mass
чёрт,devil
царь,tsar
фигура,figure
противник,enemy
даль,distance
журнал,periodical
направление,direction
победа,victory
сотрудник,collaborator
адрес,address
период,period
еврей,Jew
слух,rumour
клуб,club
хвост,tail
предмет,subject
лечение,treatment
зрение,sight
беда,misfortune
столица,capital
обед,lunch
культура,culture
высота,height
территория,territory
костюм,costume
попытка,attempt
дно,bottom
страница,page
еда,food
размер,dimensions
предприятие,undertaking
сцена,stage
фотография,photography
заболевание,disease
принцип,principle
миг,moment
Европа,Europe
тётя,aunt
мастер,foreman
отряд,Squad
старуха,old woman
руководитель,leader
житель,inhabitant
меч,sword
господь,God
тюрьма,prison
дворец,palace
камера,cell
существо,creature
билет,ticket
фраза,phrase
америка,America
весна,spring
лодка,boat
фильм,movie
больница,hospital
смех,laughter
специалист,specialist
образование,education
мальчишка,boy
продукт,product
пистолет,pistol
родина,native land
личность,personality
скорость,speed
участок,lot
текст,text
зверь,wild animal
артист,artist
автомобиль,car
участие,participation
кот,cat
мост,bridge
здоровье,health
костёр,bonfire
человечество,humanity
пуля,bullet
сомнение,doubt
отсутствие,lacking of
мясо,flesh
читатель,reader
доска,board
убийство,murder
мгновение,instant
восток,east
настроение,mood
пауза,pause
приём,reception
порог,threshold
фон,background
пропасть,precipice
песок,sand
долг,debt
предложение,sentence
работник,worker
сожаление,regret
горло,throat
ресторан,restaurant
список,list
праздник,holiday
покой,rest
шутка,joke
автобус,bus
рада,glad
вариант,option
дыхание,breathing
организм,organism
жертва,sacrifice
начальство,command
рукав,sleeve
занятие,occupation
охрана,guarding
масло,butter
кость,bone
пиво,beer
чиновник,official
эхо,echo
потолок,ceiling
лёгкое,lung
руководство,guidance
защита,defence
энергия,energy
звонок,(phone) call
сигарета,cigarette
тепло,heat
кошка,cat
зона,zone
диван,sofa
предел,limit
пятнадцать,fifteen
постель,bed
тайна,mystery
туман,mist
книжка,book
воспоминание,recollection
Ленинград,Leningrad
существование,existence
королева,queen
вход,entrance
церковь,church
преступление,crime
музей,museum
планета,planet
опасность,danger
поиск,search
палатка,tent
источник,spring
основание,foundation
родственник,relation
осень,autumn
представление,presentation
способность,ability
понятие,idea
тон,tone
аппарат,machine
водитель,driver
крыло,wing
изменение,change
беседа,conversation
пост,post
вывод,conclusion
комиссия,commission
множество,tons of
явление,phenomenon
красота,beauty
мороз,frost
дача,giving
пастух,herdsman
дон,don
остальное,Everything that's left
площадка,ground
усилие,effort
приятель,friend
ручка,pen
столик,small table
журналист,journalist
выстрел,shot
озеро,lake
сумка,bag
кино,cinema
должность,post
зло,evil
позиция,position
удивление,astonishment
следователь,investigator
ученик,pupil
основа,base
горе,grief
рождение,birth
песня,song
полок,shelf
старшина,foreman
колесо,wheel
шофёр,chauffeur
проект,project
совесть,conscience
суть,essence
режим,regime
стен,sthene
чемодан,suitcase
платье,dress
хозяйство,farm
полиция,police
пункт,point
ствол,gun
толк,sense
вкус,taste
добро,good
портрет,portrait
полк,regiment
кофе,coffee
отделение,separation
подать,tax
обстановка,furniture
пятно,spot
бровь,eyebrow
телевизор,television set
база,base
тревога,alarm
помещение,indoor location
урок,lesson
поведение,behavior
создание,creation
собрание,meeting
дедушка,grandfather
безопасность,safety
функция,function
нарушение,breach
экран,screen
шапка,cap
полоса,stripe
хозяйка,mistress
штаны,trousers
грязь,dirt
заявление,statement
труп,dead body
подарок,present
рубашка,shirt
август,August
объект,object
университет,university
охота,hunt
штука,thing
муха,fly
молоко,milk
буква,letter
вершина,top
поверхность,surface
товар,commodity
лапа,paw
гостиница,hotel
середина,middle
бригада,brigade
признак,sign
среда,Wednesday
политика,politics
капля,drop
вес,weight
комитет,committee
плащ,cloak
поток,stream
холод,cold
Париж,Paris
записка,note
появление,appearance
платок,shawl
корпус,body
сведение,information
забор,fence
октябрь,October
строй,system
морда,muzzle
краска,paint
кружок,circle
могила,grave
облако,cloud
шкаф,cupboard
милиционер,policeman
сумма,sum
сеть,web
грех,sin
ожидание,expectation
необходимость,necessity
инспектор,inspector
сообщение,message
стенка,wall
подъезд,porch
парк,park
вокзал,station building
борт,aboard
взрыв,explosion
расстояние,distance
локоть,elbow
актёр,actor
ус,moustache
куртка,jacket
луна,moon
скала,rock
экономика,economy
песнь,canto
шинель,greatcoat
лёд,ice
волк,wolf
структура,structure
сержант,sergeant
клетка,cage
поколение,generation
газ,gas
пила,saw
файл,file
орудие,instrument
коллега,colleague
просьба,request
выбор,choice
куча,a lot
корень,root
содержание,maintenance
разница,difference
остаток,remainder
расчёт,calculation
температура,temperature
республика,republic
пояс,belt
шёпот,whisper
сентябрь,September
дивизия,division
гриб,mushroom
сравнение,comparison
бабка,grandmother
реакция,reaction
тоска,melancholy
посёлок,settlement
кольцо,ring
достоинство,dignity/virtue/ quality
слой,layer
страсть,passion
напряжение,effort / tension
коммунист,communist
участник,participant
подруга,friend (female)
изба,cottage
голод,hunger
пёс,dog
заместитель,substitute
истина,truth
колонна,column
оборона,defence
элемент,element
пиджак,coat
крыльцо,porch
отличие,difference
брюки,trousers
исследование,research
орден,order
техника,engineering
канал,canal
девчонка,girl
крест,cross
теория,theory
луч,ray
молчание,silence
батарея,battery
устройство,device
палка,stick
фонарь,lantern
контроль,control
ветка,branch
влияние,influence
разведка,secret service
справа,to the right
польза,benefit
дочка,daughter
надпись,inscription
обезьяна,monkey
склад,storehouse
север,north
печать,seal
крестьянин,peasant
пальто,coat
любопытство,curiosity
тарелка,plate
следствие,consequence
ракета,rocket
зарплата,salary
топор,axe
убийца,killer
сущность,essence
домик,cottage
запись,record
пожар,fire
пачка,packet
ага,cane toad
свидетель,witness
пища,food
забота,care
открытие,discovery
девица,girl
вождь,leader
одеяло,blanket
храм,temple
пассажир,passenger
строительство,building
поездка,journey
рана,wound
верёвка,rope
погода,weather
двести,two hundred
паспорт,passport
привычка,habit
холм,hill
шоссе,highway
поворот,turn
восторг,excitement
мечта,dream
кабина,booth
картошка,potatoes
Израиль,Israel
борода,beard below chin
запас,stock
тайга,taiga
молодец,Well done
пресса,the press
подробность,detail
талант,talent
особенность,feature
дружба,friendship
памятник,monument
помощник,assistant
шляпа,hat
произведение,work
подготовка,preparation
вызов,challenge
батальон,battalion
смена,shift
потеря,loss
сигнал,signal
затылок,back of the head
мотор,motor
обида,offence
профессия,occupation
юноша,young man
юг,south
доля,part
воин,fighting man
медведь,bear
ведро,bucket
сказка,tale
цк,the Central Committee
полёт,flight
пулемёт,machine-gun
железо,iron
механизм,mechanism
тьма,dark
новость,news
строка,line
сфера,sphere
комиссар,commissar
малыш,small child
повесть,narrative
поражение,defeat/lesion hitting
цифра,figure
компьютер,computer
угроза,threat
исключение,exclusion
бумажка,scrap of paper
договор,agreement
башня,tower
секрет,secret
лампа,lamp
ремень,strap
глупость,foolishness
библиотека,library
ботинок,boot
ткань,cloth
халат,dressing-gown
океан,ocean
деталь,detail
молодёжь,youth
радио,radio
лидер,leader
корова,cow
преступник,criminal
итог,sum
задание,task
заседание,session
папка,father
Франция,France
депутат,government official
молодость,youth
норма,standard
гном,gnome
цепь,chain
метода,method
ответственность,responsibility
жар,heat
пакет,bag
уважение,respect
контакт,contact
пот,sweat
подвал,basement
ужин,supper
переход,passage
бег,run
американец,American
традиция,tradition
привет,hello (informal)
столб,post
услуга,service
шеф,chief
вещество,matter / substance
баня,banya
снаряд,projectile
вор,thief
разведчик,secret service man
редактор,editor
бандит,gunman
подушка,pillow
грузовик,lorry
раствор,solution
яма,pit
министерство,ministry
модель,model
инструмент,instrument
золото,gold
стрелок,rifleman
жест,gesture
ноябрь,November
эпоха,epoch
отдых,rest
передача,transmission
шар,ball
звание,rank
обязанность,responsibility
волнение,agitation
щель,chink
акция,share
узел,knot
гроб,coffin
редакция,editorial staff
распоряжение,order
май,May
поддержка,backing
дверца,door
Чечня,Chechnya
марка,stamp
разрешение,permission
император,emperor
листок,form
двигатель,motor
присутствие,presence
лев,lion
возвращение,return
коробка,box
печка,stove
поступок,action
симптом,symptom
кладбище,cemetery
комплекс,complex
шанс,chance
ложка,spoon
старушка,old lady
наблюдение,observation
декабрь,December
палата,chamber
судья,judge
порт,port
винтовка,rifle
горизонт,horizon
портфель,briefcase
спутник,companion
июнь,June
требование,demand
ценность,value
гений,genius
пламя,flame
стиль,style
лук,onion
госпиталь,hospital
агент,agent
костя,Kostya
коньяк,cognac
публика,public
князь,Nobleman
ненависть,hatred
собственность,property
март,March
дар,gift
моряк,seaman
перо,feather
колхоз,kolkhoz
владелец,owner
концерт,concert
знакомство,acquaintance
слабость,weakness
рыбак,fisherman
яйцо,egg
отель,hotel
лаборатория,laboratory
степь,steppe
объяснение,explanation
туча,cloud
взвод,platoon
огород,garden
клиент,client
константин,Constantine
мелочь,small fry
склон,slope
верх,top
пушок,fluff
тётка,aunt
лётчик,flier
лекарство,medicine
гвоздь,nail
ружьё,gun
кандидат,candidate
разум,mind
благо,blessing
назначение,fixing
нерв,nerve
администрация,administration
бельё,laundry
подбородок,chin
этап,stage
бомба,bomb
политик,political figure
карьера,career
действительность,reality
заяц,hare
дума,thought
метро,metro
городок,town
экзамен,examination
гибель,death
кнопка,button
ангел,angel
огонёк,light
доклад,lecture
дрова,firewood
последствие,consequence
сволочь,Bastard
роза,rose
яблоко,apple
кадр,sequence
дорожка,path
губернатор,governor
тяжесть,weight
частность,in part
пенсия,pension
июль,July
фонд,fund
воображение,imagination
искра,spark
отчаяние,despair
бизнес,business
болото,swamp
сэр,sir
виза,visa
отпуск,holiday
изображение,representation
оценка,grade
груз,load
бюджет,budget
использование,utilization
кролик,rabbit
доказательство,proof
танец,dance
внук,grandson
гордость,pride
получение,receipt
стук,knock
январь,January
шкура,skin
заключение,conclusion
санкт,
ковёр,carpet
койка,cot
недостаток,disadvantage
наличие,presence
статус,status
поход,march
училище,school
рыцарь,knight
прибор,device
выборы,election
карточка,card
государь,sovereign
путешествие,journey
зритель,audience
империя,empire
девка,girl
давление,pressure
патрон,patron
мина,mine
спектакль,play
хрен,horse-radish
применение,application
лекция,lecture
желудок,stomach
супруг,husband
потребность,want
галстук,tie
док,dock
социализм,socialism
свадьба,wedding
соль,salt
руль,rudder
мука,torment
штат,state
бочок,flank
скандал,scandal
завтрак,breakfast
сиденье,seat
версия,version
понимание,understanding
охотник,hunter
пустыня,desert
речка,small river
бревно,log
стрела,arrow
академия,academy
промышленность,industry
посуда,tableware
идиот,idiot
допрос,interrogation
продажа,sale
конфликт,conflict
свойство,property
кусочек,a piece
судно,boat
рамка,frame
карандаш,pencil
собеседник,interlocutor
бригадир,brigade-leader
грохот,crash
драка,fight
мак,poppy
анализ,analysis
переговоры,negotiations
выступление,performance
неприятность,trouble
торговля,trade
москвич,Muscovite
транспорт,transport
справедливость,justice
остановка,stop
невеста,bride
рукопись,manuscript
блок,bloc
экспедиция,expedition
уверенность,confidence
дура,foolish woman
красавица,beauty
крышка,lid
удача,good luck
сарай,shed
контора,office
скамейка,bench
одиночество,solitude
дьявол,devil
рассвет,dawn
академик,academician
обмен,exchange
каша,kasha
спичка,match a device to make fire
спора,spore
корея,Korea
перевод,transference
кафе,café
режиссёр,producer
воскресенье,Sunday
отчёт,account
блеск,lustre
проверка,check-up
сахар,sugar
лопата,spade
надел,plot of arable land
питание,nourishment
прокурор,public prosecutor
экипаж,carriage
лифт,lift
такси,taxi
трус,coward
иностранец,foreigner
лента,ribbon
цех,guild
балкон,balcony
мода,fashion
ступенька,step
выставка,exhibition
окончание,termination
суп,soup
сено,hay
акт,act
указание,indication
молния,lightning
глоток,drink
поза,pose
пустота,emptiness
реальность,reality
музыкант,musician
свидание,meeting
брак,marriage
глазок,eye
свинья,pig
рубаха,shirt
спирт,alcohol
принц,prince
намерение,intention
плод,fruit
рубеж,boundary
майка,T-shirt
ножка,leg
проход,passage
мистер,mister
происхождение,origin
достижение,achievement
проявление,manifestation
цивилизация,civilization
окоп,trench
творчество,creative work
туалет,toilet
волга,Volga river
коммунизм,Communism
визит,visit
корреспондент,correspondent
учреждение,founding
нация,nation
прибыль,profit
атмосфера,atmosphere
величество,majesty
стоимость,cost
страдание,suffering
вина,fault
ведьма,witch
зависимость,addiction
рисунок,drawing
ноготь,nail
ложь,lie
соображение,consideration
белок,white
повышение,rise
папироса,cigarette
тряпка,rag
барон,baron
посетитель,visitor
перемена,change
плита,plate
китай,China
окружающее,
картинка,picture
комбат,battalion commander
коллектив,collective
чтение,reading
объём,volume
исполнение,fulfilment
пароход,steamer
подвиг,exploit
продукция,production
воздействие,influence
кирпич,brick
копейка,copeck
наказание,punishment
готовность,readiness
уголок,corner
установка,putting
федерация,federation
слуга,servant
подпись,signature
сбор,collection
отказ,refusal
металл,metal
пещера,cave
тротуар,pavement
атака,attack
решётка,grating
переулок,side-street
препарат,preparation
совещание,conference
нужда,need
тыл,back
наряд,outfit
советник,adviser
гимнастёрка,female gymnast
жалость,compassion
чашка,cup
люк,hatchway
носок,sock
спорт,sport
окружение,environment
арест,arrest
флот,fleet
налог,tax
демократия,democracy
олень,deer
турист,tourist
эффект,effect
конференция,conference
разрыв,break
сосна,pine
барин,barin
нападение,attack
суббота,Saturday
Украина,Ukraine
мыло,soap
протокол,report
лавка,bench
примета,sign
усталость,tiredness
величина,size
съезд,congress
эксперимент,experiment
боцман,boatswain
свеча,candle
асфальт,asphalt
масштаб,scale
фактор,factor
обращение,address
почта,post
монах,monk
рюмка,shot glass
приключение,adventure
старость,old age
зад,back part
точность,exactness
четверть,a quarter
перспектива,perspective
охранник,guard
справка,information
гнев,anger
почва,soil
плюс,plus
рог,horn
колдун,sorcerer
полгода,half a year
сочинение,composing
сопротивление,resistance
реформа,reform
долина,valley
издание,publication
доход,income
окошко,window
расход,expense
жир,fat
змея,snake
рай,paradise
проспект,avenue
схема,scheme
несчастье,misfortune
минимум,minimum
Англия,England
спасение,rescue
подоконник,window-sill
подъём,lifting / rising / climb hoisting
авиация,aviation
признание,acknowledgement/ recognition / confession / declaration
альбом,album
блюдо,cuisine
мебель,furniture
апрель,April
кремль,citadel
старичок,little old man
спальня,bedroom
стремление,aspiration
облегчение,facilitation
барак,barrack
сок,juice
подозрение,suspicion
деятель,public figure
ручей,brook
общение,intercourse
колбаса,sausage
любитель,amateur
соответствие,accordance
показание,testimony
легенда,legend
испытание,test
мышка,mouse
челюсть,jaw
Италия,Italy
уход,leaving
ремонт,repair
осколок,splinter
соседка,neighbour
телеграмма,telegram
уголь,coal
согласие,consent
звон,peal
заказ,order
чеченец,Chechen
практика,practice
стойка,bar
интеллигенция,intelligentsia
лампочка,electric light bulb
ген,gene
мышца,muscle
благодарность,gratitude
категория,category
нквд,
пуговица,button
наступление,arrival
козёл,he-goat
раб,slave
образец,sample
выполнение,implementation
падение,fall
имущество,property
ток,current
приезд,arrival
пляж,beach
сюжет,subject
слон,elephant
монастырь,cloister
подросток,juvenile
богатство,riches
дневник,diary
базар,market
проволока,wire
ярость,fury
воротник,collar
подполковник,lieutenant-colonel
аэропорт,airport
длина,length
авторитет,authority
принцесса,princess
туфля,shoe (high heels)
ветвь,branch
кризис,crisis
отъезд,departure
кгб,KGB
предок,ancestor
жидкость,liquid
оркестр,orchestra
дыра,hole
волшебник,magician
обвинение,charge
бред,delirium
рис,rice
маршрут,route
маршал,marshal
большевик,Bolshevik
спинка,back
общежитие,dormitory
определение,definition
гад,reptile
ерунда,nonsense
приступ,assault
крепость,stronghold
треск,crash
интервью,interview
сумерки,dusk
проводник,guide
учительница,teacher
конверт,envelope
анекдот,anecdote
физиономия,physiognomy
трамвай,tram
квартал,quarter
риск,risk
дружок,pal
прыжок,jump
фабрика,factory
оболочка,shell
описание,description
свидетельство,evidence
взор,look
адвокат,advocate
заведение,institution
архив,archives
замысел,project
курсант,student
фуражка,peaked cap
февраль,February
капитал,capital
фашист,fascist
полотенце,towel
инструкция,directions
маг,Magian
лужа,puddle
тонна,ton
напиток,drink
пьеса,play
раздражение,irritation
телевидение,television
одиннадцать,eleven
жильё,dwelling
процедура,procedure
жених,fiance
натура,nature
маска,mask
конкурс,contest
технология,technology
юность,youth
рёв,roar
сибирь,Siberia
ад,hell
струя,stream
аккумулятор,accumulator
Берлин,Berlin
кисть,brush
проведение,construction
ставка,rate
провод,wire
стрельба,shoot
реклама,publicity
комендант,commandant
премьера,premiere
поцелуй,kiss
прогулка,walk
Япония,Japan
орёл,eagle
техник,technician
прогресс,progress
трудность,difficulty
казарма,barracks
нар,hybrid camel
кислота,sourness
юбка,skirt
полдень,noon
овраг,ravine
череп,skull
доверие,trust
рожа,mug
каюта,room
символ,symbol
дата,date
физика,physics
регион,region
игрушка,toy
стыд,shame
матрос,seaman
гараж,garage
фюрер,Fuhrer
окраина,outskirts
издательство,publishing house
происшествие,incident
ноль,nil
приход,coming
премия,bonus
чайник,teapot
прихожая,hall
сосуд,vessel
котелок,pot
юмор,humour
округ,okrug
хор,chorus
бокал,glass (of wine)
Лондон,London
машинка,typewriter
щит,shield
рюкзак,backpack
фантазия,fantasy
учёт,calculation
мероприятие,activity
трагедия,tragedy
награда,reward
партнёр,partner
вопль,yell
перерыв,interruption
набережная,embankment
воспитание,education
недоумение,bewilderment
преподаватель,teacher
приговор,sentence
стадо,herd
калитка,wicket
копия,copy
вица,
увеличение,increase
мадам,madam
наслаждение,delight
табак,tobacco
космос,space
катастрофа,catastrophe
командировка,official journey
холодильник,refrigerator
подход,way
цепочка,chain
зависть,envy
гул,rumble
зерно,grain
пустяк,something unimportant
котёл,caldron
подряд,in a row
хоббит,hobbit
флаг,flag
пионер,pioneer
манера,manner
злость,malice
жалоба,complaint
учение,studies
медаль,medal
шпион,spy
сезон,season
пришелец,alien
танцор,dancer
преимущество,advantage
облик,look
формула,formula
сынок,son
намёк,hint
командование,command
грек,Greek
оборот,turn
термин,term
идеал,ideal
марш,march
умение,ability
стихотворение,poem
покупатель,buyer
спокойствие,calm
нефть,oil
вена,vein
трактор,tractor
килограмм,kilogramme
Эстония,Estonia
добыча,booty /prey / extraction
обычай,custom
мотоцикл,motor cycle
ванна,bath
продолжение,continuation
политбюро,political bureau
диск,disk
ссылка,link
подчинённый,under
тёща,mother-in-law
палуба,deck
перчатка,glove
пузырь,bubble
серия,series
велосипед,bicycle
ресурс,resources
тетрадь,notebook
жажда,thirst
мусор,garbage
петух,cock
порошок,powder
растение,plant
удав,boa
башмак,shoe
лыжа,ski
пропаганда,information
бык,bull
снижение,lowering
плач,weeping
салон,salon
замечание,remark
беспокойство,anxiety
братец,brother
оборудование,equipment
буфет,sideboard
аргумент,argument
лёт,flight
неожиданность,unexpectedness
цирк,circus
луг,meadow
инвалид,invalid
исход,outcome
бюро,bureau
бедро,thigh
вздох,deep breath
зелень,greenery
освобождение,liberation
село,village
аэродром,airfield
чин,rank
племя,tribe
мышь,mouse
шуба,fur coat
всадник,rider
доступ,access
крючок,hook
медицина,medicine
боевик,hit
посольство,embassy
пребывание,stay
кончик,tip
миллиард,billion
монета,coin
свист,whistle
шерсть,hair
предположение,supposition
повар,cook
тварь,creature
казак,Cossack
неудача,failure
приглашение,invitation
размышление,thought
градус,degree( temperature )
школьник,schoolboy
биография,biography
дровосек,wood-cutter
критика,criticism
китаец,Chinese
философия,philosophy
набор,kit
загадка,riddle
характеристика,description
поэзия,poetry
англичанин,Englishman
бинокль,binocular
колодец,well
седло,saddle
повязка,bandage
корточки,
порыв,impulse
граната,high-explosive shell
хутор,khutor
воспаление,inflammation
пациент,patient
палочка,line
графа,column
покупка,buying
объявление,declaration
роса,dew
воробей,sparrow
простыня,sheet
Одесса,Odessa
десятилетие,tenth anniversary
корзина,basket
петля,loop
кампания,campaign
вспышка,flash
гнездо,nest
покойник,the deceased
известие,news
Польша,Poland
ягода,berry
столетие,century
бензин,gasoline
француз,Frenchman
упор,rest
отверстие,opening
рама,frame
одиночка,lone person
указ,decree
ограда,fence
ступень,step
злоба,spite
скамья,bench
смесь,mixture
кран,tap / faucet
суета,fuss
зрелище,sight
учебник,textbook
противоречие,contradiction
ресница,eyelash
изумление,amazement
башка,noggin
священник,priest
побег,flight
дуб,oak
протяжение,duration
штурман,navigator
похороны,burial
хата,hut
философ,philosopher
расположение,disposition
ребятишки,children
эпизод,episode
знамя,banner
яд,poison
сук,bough
полоска,strip
обман,deception
вооружение,arming
капуста,cabbage
аппетит,appetite
нуль,nought
группировка,grouping
партизан,partisan
закат,setting
тропинка,path
чепуха,nonsense
историк,historian
удовлетворение,satisfaction
дерьмо,Shit
специальность,speciality
каблук,heel
японец,Japanese
фрукт,fruit
инициатива,initiative
сценарий,script
милость,mercy
вселенная,universe
официант,waiter
головка,leadership
продавец,seller
гитара,guitar
тройка,three
досада,vexation
простор,spaciousness
битва,battle
утверждение,assertion
очаг,hearth
копыто,hoof
чистота,cleanness
бульвар,avenue
интеллигент,intellectual
дракон,dragon
мэр,mayor
пилот,pilot
заговор,plot
кол,stake
шлем,helmet
окурок,cigarette-end
крыса,rat
вой,howl
госпожа,lady
оттенок,tinge
правитель,ruler
весло,oar
кишка,intestine
буря,storm
прокуратура,Office of Public Prosecutor
снимок,photo
негодяй,scoundrel
проза,prose
терпение,patience
кузов,basket
внешность,appearance
строчок,
диплом,diploma
порция,portion
витрина,window
материя,matter
провал,downfall
походка,gait
травма,trauma
отражение,reflection
бак,tank
метод,method
мяч,ball
трасса,line
грамм,gramme
торжество,festival
купол,cupola
мрак,gloom
хребет,spine
идеология,ideology
ребро,rib
командующий,commander
религия,religion
батюшка,father
артиллерия,artillery
пехота,infantry
поп,priest
победитель,winner
платформа,platform
матч,match
эмоция,emotion
пацан,boy
убеждение,belief
обрыв,cliff
плёнка,film
посадка,boarding
блокнот,note-book
разбойник,robber
обитатель,inhabitant
мотив,tune
сооружение,building
уничтожение,destruction
полость,cavity
расследование,investigation
нитка,thread
младенец,baby
фигурка,statuette
игрок,player
коза,goat
интонация,intonation
порода,race
лозунг,slogan
профессионал,professional
сотрудничество,cooperation
темп,rate
обещание,promise
переводчик,translator
занавеска,curtain
соглашение,agreement
